 251 ; Медаль В память войны 1853-1856. D-28мм ;  ;  ; Ж/м ; XF+ ; 33 ; Blister ; 4970 
 1724 ; 5 рублей. Пластиковая упаковка ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 39 ; Harlock ; 122 
 1725 ; 5 рублей. Пластиковая упаковка ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 53 ; Harlock ; 123 
 1726 ; 1 рубль. Пластиковая упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 53 ; карат ; 117 
 1727 ; 1 рубль. Пластиковая упаковка ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 25 ; kostik_ne ; 111 
 1728 ; 1 рубль. Пластиковая упаковка ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 18 ; Harlock ; 112 
 1729 ; 1 рубль. Пластиковая упаковка ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 24 ; kostik_ne ; 111 
 1730 ; 1 рубль. Пластиковая упаковка ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 90 ; карат ; 167 
 1731 ; 1 рубль. Пластиковая упаковка ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 60 ; molchun ; 127 
 1732 ; 1 рубль. Пластиковая упаковка ; 1981 ; Дружба навеки ; Cu-Ni ; AU ; 54 ; molchun ; 186 
 1733 ; 1 рубль. Пластиковая упаковка ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 41 ; kostik_ne ; 111 
 1734 ; 1 рубль. Пластиковая упаковка ; 1982 ; 60 лет образования СССР ; Cu-Ni ; AU ; 50 ; lgvspb ; 183 
 1735 ; 1 рубль. Пластиковая упаковка ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 53 ; molchun ; 127 
 1736 ; 1 рубль. Пластиковая упаковка ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 64 ; Harlock ; 140 
 1737 ; 1 рубль. Пластиковая упаковка ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 40 ; SSS200 ; 157 
 1738 ; 1 рубль. Пластиковая упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 28 ; Harlock ; 109 
 1739 ; 1 рубль. Пластиковая упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 34 ; Pilimov ; 165 
 1740 ; 1 рубль. Пластиковая упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 33 ; Pilimov ; 165 
 1741 ; 1 рубль. Пластиковая упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 22 ; Pilimov ; 165 
 1742 ; 1 рубль. Пластиковая упаковка ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 27 ; vitalik72v ; 102 
 1743 ; 1 рубль. Пластиковая упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 27 ; vitalik72v ; 102 
 1744 ; 1 рубль. Пластиковая упаковка ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 57 ; Georgiy ; 128 
 1745 ; 1 рубль. Пластиковая упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 19 ; kostik_ne ; 109 
 1746 ; 1 рубль. Пластиковая упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 46 ; Pilimov ; 226 
 1747 ; 1 рубль. Пластиковая упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 27 ; Pilimov ; 155 
 1748 ; 1 рубль. Пластиковая упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 44 ; Pilimov ; 181 
 1749 ; 1 рубль. Пластиковая упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 36 ; Pilimov ; 155 
 1750 ; 1 рубль. Пластиковая упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 37 ; Harlock ; 177 
 1751 ; 1 рубль. Пластиковая упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 38 ; vfuflfy49 ; 114 
 1752 ; 1 рубль. Пластиковая упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 29 ; vfuflfy49 ; 114 
 1753 ; 1 рубль. Пластиковая упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 46 ; veter 9 ; 105 
 1654 ; 10 копеек ; 1946 ; о.Шпицберген ; Br ; XF- ; 34 ; kaper ; 3570 
 1655 ; 10 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 81 ; dali ; 561 
 1656 ; Разменный знак. 10 Шпицберген. Против терроризма. С надписью. Упаковка ; 2001 ;  ; Cu/Ni ; Proof ; 29 ; xxx935 ; 1824 
 1657 ; Разменный знак. 10 Шпицберген. Подъем подлодки "Курск". С надписью. Упаковка ; 2001 ;  ; Cu/Ni ; Proof ; 43 ; tdp ; 2493 
 1658 ; Разменный знак. 10 Шпицберген. Наводенеие- центр Европы ; 2002 ;  ; Cu/Ni ; Proof ; 26 ; ruslanrs ; 724 
 1659 ; Разменный знак. 10 Шпицберген. Наводнение -Юг России ; 2002 ;  ; Cu/Ni ; Proof ; 26 ; ruslanrs ; 724 
 1660 ; Разменный знак. 10 Шпицберген. Против терроризма ; 2002 ;  ; Cu/Ni ; Proof ; 23 ; Harlock ; 667 
 1661 ; Разменный знак. 10 Шпицберген. Сход ледника-трагедия в Кармадонском ущелье ; 2002 ;  ; Cu/Ni ; Proof ; 32 ; kma1296svu ; 830 
 1662 ; Разменный знак. 10 Шпицберген. Цунами-Юго-Восточная Азия ; 2005 ;  ; Cu/Ni ; Proof ; 52 ; kma1296svu ; 1249 
 1663 ; Жетон. Министерство торговли СССР № 26 ;  ;  ; Ж/м ; AU ; 44 ; stas007 ; 159 
 1664 ; Жетон. Министерство торговли СССР № 20 ;  ;  ; Ж/м ; AU ; 24 ; kuznecov88 ; 215 
 1665 ; Жетон. Министерство торговли СССР № 12 ;  ;  ; Ж/м ; AU ; 66 ; ruslanrs ; 153 
 1666 ; Жетон. Министерство торговли СССР № 4 ;  ;  ; Ж/м ; VF ; 64 ; Vb[fksx ; 357 
 1667 ; Жетон. Министерство торговли СССР № 3 ;  ;  ; Ж/м ; VF ; 57 ; benc ; 503 
 1668 ; 1 рубль ; 1986 ; Международный год мира.В рубле Л в виде шалаша. ; Cu-Ni ; AU ; 57 ; termin111 ; 1325 
 1669 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского."пруф", без знака МД ; Cu-Ni ; Proof ; 73 ; кошак ; 1476 
 1670 ; 50 копеек ; 1970 ;  ; Cu-Ni ; VF+ ; 56 ; ZOLTAN333 ; 3310 
 1671 ; 50 копеек ; 1976 ;  ; Cu-Ni ; Unc/AU ; 99 ; tdp ; 1113 
 1672 ; 20 копеек ; 1950 ;  ; Ni ; VF+ ; 35 ; Don_kihot77 ; 669 
 1673 ; 20 копеек ; 1976 ;  ; Cu-Ni ; Unc/AU ; 65 ; hugo ; 3453 
 1674 ; 20 копеек ; 1977 ; Л/с шт. 3 коп. ; Cu-Ni ; VF-XF ; 19 ; vfuflfy49 ; 303 
 1675 ; 20 копеек ; 1977 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 152 ; hugo ; 663 
 1676 ; 20 копеек ; 1979 ; Л/с шт. 3 коп. ; Cu-Ni ; VF+ ; 50 ; klimvita ; 128 
 1677 ; 20 копеек ; 1979 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 17 ; hugo ; 656 
 1678 ; 20 копеек ; 1989 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 36 ; elefant1965 ; 853 
 1679 ; 10 копеек ; 1965 ;  ; Cu-Ni ; XF ; 52 ; dimass70 ; 1608 
 1680 ; 10 копеек. Брак гурчения ; 1990 ; М ; Cu-Ni ; AU ; 91 ; priwet ; 4172 
 1681 ; 10 копеек ; 1991 ; Без букв ; Cu-Ni ; XF ; 40 ; Bolt ; 1264 
 1682 ; 5 копеек ; 1934 ;  ; Br ; F-VF ; 88 ; grot ; 6222 
 1683 ; 5 копеек ; 1937 ;  ; Br ; F-VF ; 84 ; Don_kihot77 ; 435 
 1684 ; 5 копеек ; 1938 ;  ; Br ; VF- ; 67 ; sibiryak62 ; 567 
 1685 ; 5 копеек ; 1951 ;  ; Br ; VF+ ; 48 ; peck ; 1134 
 1686 ; 5 копеек ; 1990 ; М ; Cu-Zn ; VF-XF ; 61 ; dimass70 ; 5634 
 1687 ; 3 копейки ; 1927 ;  ; Br ; VF ; 69 ; dimon46 ; 1894 
 1688 ; 3 копейки ; 1979 ; Л/с шт.20 коп.1973 ; Cu-Zn ; AU ; 132 ; tdp ; 670 
 1689 ; 3 копейки ; 1979 ; Л/с шт.20 коп.1973 ; Cu-Zn ; AU ; 51 ; tdp ; 417 
 1690 ; 1 копейка ; 1930 ;  ; Br ; F-VF ; 34 ; yurrgen ; 284 
 1691 ; 10 рублей ; 1992 ; ЛМД Биметалл ; Cu-Zn/Cu-Ni ; AU ; 170 ; F@NT0M ; 4689 
 1692 ; 5 рублей. Аверс/Реверс 45 градусов ; 1998 ;  ; Cu в Cu/Ni ; VF+ ; 35 ; astronom ; 97 
 1693 ; 2 рубля. Аверс/Реверс 90 градусов ; 1997 ;  ; Cu/Ni/Zn ; XF ; 84 ; astronom ; 220 
 1694 ; 1 рубль. Аверс/Реверс 120 градусов ; 2008 ;  ; Cu/Ni/Zn ; XF ; 35 ; astronom ; 159 
 1695 ; 15 копеек. Брак чеканки ; 1990 ;  ; Cu-Ni ; XF ; 9 ; Lasto4kaSPB ; 26 
 1696 ; 3 рубля. Пластиковая упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 78 ; vfuflfy49 ; 170 
 1697 ; 3 рубля. Пластиковая упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 67 ; Nikolay75 ; 155 
 1698 ; 3 рубля. Пластиковая упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 14 ; evgen 66 ; 108 
 1699 ; 3 рубля. Пластиковая упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 44 ; Nikolay75 ; 122 
 1700 ; 3 рубля. Пластиковая упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 24 ; Pilimov ; 300 
 1701 ; 3 рубля. Пластиковая упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 42 ; molchun ; 196 
 1702 ; 3 рубля. Пластиковая упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 35 ; Harlock ; 340 
 1703 ; 3 рубля. Пластиковая упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; AU ; 25 ; Harlock ; 209 
 1604 ; 15 копеек ; 1923 ;  ; Ag ; XF ; 75 ; Vasya1211 ; 101 
 1605 ; 15 копеек ; 1923 ;  ; Ag ; XF ; 74 ; TMakc ; 95 
 1606 ; 15 копеек ; 1923 ;  ; Ag ; VF+ ; 46 ; kdn7 ; 114 
 1607 ; 15 копеек ; 1923 ;  ; Ag ; VF+ ; 36 ; kdn7 ; 114 
 1608 ; 15 копеек ; 1923 ;  ; Ag ; VF+ ; 73 ; kdn7 ; 96 
 1609 ; 15 копеек ; 1923 ;  ; Ag ; VF ; 63 ; kdn7 ; 92 
 1610 ; 10 копеек ; 1923 ;  ; Ag ; F-VF ; 60 ; Олег33 ; 92 
 1611 ; 15 копеек ; 1924 ;  ; Ag ; XF ; 63 ; svetozar ; 296 
 1612 ; 15 копеек ; 1924 ;  ; Ag ; XF- ; 87 ; Vanomah ; 156 
 1613 ; 15 копеек ; 1925 ;  ; Ag ; XF/AU ; 16 ; Kotoff ; 101 
 1614 ; 15 копеек ; 1925 ;  ; Ag ; VF-XF ; 22 ; termin111 ; 99 
 1615 ; 15 копеек ; 1927 ;  ; Ag ; AU ; 25 ; max.zuzin ; 108 
 1616 ; 15 копеек ; 1927 ;  ; Ag ; XF ; 51 ; kijoy ; 291 
 1617 ; 15 копеек ; 1927 ;  ; Ag ; VF+ ; 43 ; vfuflfy49 ; 117 
 1618 ; 15 копеек ; 1928 ;  ; Ag ; AU ; 112 ; max.zuzin ; 225 
 1619 ; 15 копеек ; 1928 ;  ; Ag ; AU ; 98 ; kijoy ; 323 
 1620 ; 15 копеек ; 1928 ;  ; Ag ; XF+ ; 28 ; Kotoff ; 112 
 1621 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 37 ; Kotoff ; 138 
 1622 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 59 ; Kotoff ; 114 
 1623 ; 15 копеек ; 1929 ;  ; Ag ; AU ; 67 ; lekso ; 426 
 1624 ; 15 копеек ; 1930 ;  ; Ag ; VF+ ; 42 ; Vasya1211 ; 93 
 1625 ; 10 копеек ; 1923 ;  ; Ag ; XF- ; 51 ; termin111 ; 163 
 1626 ; 10 копеек ; 1924 ;  ; Ag ; XF- ; 73 ; DmA ; 510 
 1627 ; 10 копеек ; 1925 ;  ; Ag ; XF- ; 30 ; westof ; 104 
 1628 ; 10 копеек ; 1925 ;  ; Ag ; VF ; 37 ; Ратамахатта ; 94 
 1629 ; 10 копеек ; 1927 ;  ; Ag ; AU ; 73 ; kijoy ; 439 
 1630 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 31 ; Kotoff ; 157 
 1631 ; 10 копеек ; 1928 ;  ; Ag ; AU ; 43 ; tdp ; 235 
 1632 ; 10 копеек ; 1928 ;  ; Ag ; AU ; 105 ; Kotoff ; 233 
 1633 ; 10 копеек ; 1928 ;  ; Ag ; XF+ ; 30 ; Сапёр ; 126 
 1634 ; 10 копеек ; 1929 ;  ; Ag ; XF+ ; 39 ; kijoy ; 125 
 1635 ; 10 копеек ; 1929 ;  ; Ag ; XF ; 41 ; taa ; 119 
 1636 ; 10 копеек ; 1929 ;  ; Ag ; VF-XF ; 32 ; 2262н ; 104 
 1637 ; 10 копеек ; 1930 ;  ; Ag ; AU ; 53 ; DmA ; 250 
 1638 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; XF- ; 33 ; Andr89 ; 2714 
 1639 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; VF+ ; 90 ; кве ; 485 
 1640 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; F ; 30 ; vfuflfy49 ; 72 
 1641 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VF+ ; 120 ; uz ; 765 
 1642 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VF+ ; 113 ; uz ; 549 
 1643 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VF- ; 45 ; rev ; 107 
 1644 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VF- ; 26 ; Олег33 ; 255 
 1645 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF- ; 55 ; Ronald ; 214 
 1646 ; Полкопейки ; 1925 ;  ; Cu ; VF-XF ; 56 ; cond ; 625 
 1647 ; Полкопейки ; 1925 ;  ; Cu ; F-VF ; 66 ; Northman ; 281 
 1648 ; Полкопейки ; 1927 ;  ; Cu ; VF+ ; 110 ; lielais ; 816 
 1649 ; Полкопейки ; 1927 ;  ; Cu ; F ; 62 ; riga1979 ; 313 
 1650 ; Полкопейки ; 1928 ;  ; Cu ; VF+ ; 38 ; lielais ; 1685 
 1651 ; Полкопейки ; 1928 ;  ; Cu ; F+ ; 127 ; avc ; 750 
 1652 ; 50 копеек ; 1946 ; о.Шпицберген ; б.м. ; VF-XF ; 77 ; dali ; 3555 
 1653 ; 20 копеек ; 1946 ; о.Шпицберген ;  ; VF-XF ; 36 ; kaper ; 4590 
 1554 ; 50 копеек ; 1921 ; (АГ) ; Ag ; XF- ; 41 ; jimmysu ; 518 
 1555 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; XF- ; 50 ; termin111 ; 714 
 1556 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF-XF ; 26 ; 224000 ; 492 
 1557 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF ; 78 ; stas007 ; 493 
 1558 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF ; 36 ; veter 9 ; 432 
 1559 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF ; 20 ; stas007 ; 403 
 1560 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; F-VF ; 132 ; волга ; 359 
 1561 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; F ; 61 ; stas007 ; 359 
 1562 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; XF- ; 11 ; stas007 ; 383 
 1563 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; VF-XF ; 45 ; say ; 352 
 1564 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF-XF ; 33 ; stas007 ; 352 
 1565 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; VF- ; 129 ; Nejdan ; 459 
 1566 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF- ; 89 ; Northman ; 384 
 1567 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF- ; 42 ; ML ; 430 
 1568 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; VF-XF ; 49 ; 1dima_s ; 521 
 1569 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; VF+ ; 48 ; ML ; 510 
 1570 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; VF+ ; 47 ; 5169 ; 407 
 1571 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; F-VF ; 10 ; 5169 ; 338 
 1572 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; VF-XF ; 18 ; 1dima_s ; 400 
 1573 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; VF-XF ; 40 ; kostik_ne ; 362 
 1574 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; VF+ ; 22 ; РОССКОММ! ; 371 
 1575 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; VF+ ; 54 ; GUGA ; 373 
 1576 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; AU ; 42 ; каламбурчик ; 1911 
 1577 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; XF ; 16 ; kijoy ; 753 
 1578 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; VF-XF ; 25 ; РОССКОММ! ; 781 
 1579 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; VF-XF ; 14 ; wertu ; 688 
 1580 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; VF+ ; 45 ; 281 ; 770 
 1581 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; VF ; 19 ; jimmysu ; 566 
 1582 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; VF-XF ; 15 ; РОССКОММ! ; 816 
 1583 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; VF ; 41 ; 5169 ; 700 
 1584 ; 20 копеек ; 1923 ;  ; Ag ; AU ; 80 ; joper69 ; 326 
 1585 ; 20 копеек ; 1921 ;  ; Ag ; VF ; 48 ; smax621 ; 1224 
 1586 ; 20 копеек ; 1922 ;  ; Ag ; VF ; 15 ; taa ; 113 
 1587 ; 20 копеек ; 1923 ;  ; Ag ; XF/AU ; 44 ; tex ; 146 
 1588 ; 20 копеек ; 1923 ;  ; Ag ; XF- ; 74 ; TMakc ; 129 
 1589 ; 20 копеек ; 1923 ;  ; Ag ; VF ; 32 ; kostik_ne ; 92 
 1590 ; 20 копеек ; 1923 ;  ; Ag ; F-VF ; 40 ; kostik_ne ; 92 
 1591 ; 20 копеек ; 1924 ;  ; Ag ; XF ; 78 ; kijoy ; 128 
 1592 ; 20 копеек ; 1924 ;  ; Ag ; VF+ ; 41 ; lgvspb ; 92 
 1593 ; 20 копеек ; 1925 ;  ; Ag ; XF+ ; 58 ; kijoy ; 125 
 1594 ; 20 копеек ; 1925 ;  ; Ag ; XF- ; 49 ; сортам70 ; 92 
 1595 ; 20 копеек ; 1925 ;  ; Ag ; VF+ ; 62 ; АлекS ; 92 
 1596 ; 20 копеек ; 1928 ;  ; Ag ; AU ; 56 ; GUGA ; 227 
 1597 ; 20 копеек ; 1928 ;  ; Ag ; AU ; 86 ; Харитон Платонович ; 136 
 1598 ; 20 копеек ; 1928 ;  ; Ag ; XF ; 14 ; TMakc ; 93 
 1599 ; 20 копеек ; 1928 ;  ; Ag ; XF ; 28 ; kostik_ne ; 100 
 1600 ; 20 копеек ; 1928 ;  ; Ag ; XF- ; 87 ; Харитон Платонович ; 135 
 1601 ; 20 копеек ; 1929 ;  ; Ag ; VF+ ; 26 ; vfuflfy49 ; 107 
 1602 ; 20 копеек ; 1930 ;  ; Ag ; XF ; 36 ; termin111 ; 140 
 1603 ; 15 копеек ; 1922 ;  ; Ag ; XF- ; 65 ; sibiryak62 ; 408 
 1239 ; Жетон. Метрополитена  станция метро "Адмиралтейская". В буклете ; 2011 ;  ; Ж/м ; Unc ; 35 ; Petch ; 283 
 1240 ; Жетон метрополитена. "Адмиралтейская". В буклете ; 2011 ;  ; Ж/м ; Unc ; 13 ; tpls ; 233 
 1241 ; Жетон метрополитена. Станция метро "Адмиралтейская". В буклете ; 2011 ;  ; Ж/м ; Unc ; 32 ; Pilimov ; 263 
