 1153 ; Медаль "Преуспевающему". Для выпускников мужских гимназий. М-24,76г. D-32мм ;  ;  ; Au ; XF+ ; 7 ; Продано в зале ; 82500 
 1959 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF+ ; 28 ; ZOLTAN333 ; 67 
 1960 ; 50 копеек ; 1965 ;  ; Cu-Ni ; VF ; 86 ; сибиряк29 ; 173 
 1961 ; 50 копеек ; 1991 ; ММД ; Cu-Ni ; XF ; 33 ; lielais ; 109 
 1962 ; 20 копеек ; 1931 ;  ; Ni ; VF- ; 20 ; Aleks72 ; 81 
 1963 ; 20 копеек ; 1932 ;  ; Ni ; VF-XF ; 12 ; shknikolay ; 232 
 1964 ; 20 копеек ; 1933 ;  ; Ni ; XF- ; 10 ; lielais ; 204 
 1965 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; VF-XF ; 18 ; ryber ; 180 
 1966 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; XF ; 10 ; Aleks72 ; 80 
 1967 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 23 ; gabbels ; 266 
 1968 ; 20 копеек ; 1938 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 20 ; lielais ; 218 
 1969 ; 20 копеек ; 1939 ;  ; Ni ; VF+ ; 17 ; ryber ; 204 
 1970 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 14 ; Ходор ; 208 
 1971 ; 20 копеек ; 1941 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF- ; 14 ; masterovoi ; 114 
 1972 ; 20 копеек ; 1942 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 10 ; ssss ; 263 
 1973 ; 20 копеек ; 1944 ;  ; Ni ; VF+ ; 13 ; lielais ; 204 
 1974 ; 20 копеек ; 1946 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 6 ; lielais ; 101 
 1975 ; 20 копеек ; 1951 ;  ; Ni ; AU ; 27 ; kondor300 ; 348 
 1976 ; 20 копеек ; 1954 ;  ; Ni ; XF+ ; 29 ; lielais ; 113 
 1977 ; 20 копеек ; 1955 ;  ; Ni ; XF ; 16 ; lielais ; 114 
 1978 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 24 ; verunk1 ; 216 
 1979 ; 20 копеек ; 1977 ;  ; Cu-Ni ; AU ; 16 ; verunk1 ; 123 
 1980 ; 15 копеек ; 1932 ;  ; Ni ; VF-XF ; 23 ; polant ; 260 
 1981 ; 15 копеек ; 1937 ;  ; Ni ; VF+ ; 75 ; gabbels ; 909 
 1982 ; 15 копеек ; 1939 ;  ; Ni ; VF+ ; 82 ; gabbels ; 659 
 1883 ; 1 рубль. Пластиковая упаковка ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Proof ; 46 ; SirTem ; 1180 
 1884 ; 1 рубль. Пластиковая упаковка ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Proof ; 52 ; SirTem ; 1180 
 1885 ; 1 рубль. Пластиковая упаковка ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; Proof ; 56 ; SirTem ; 1020 
 1886 ; 1 рубль. Пластиковая упаковка ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Proof ; 57 ; SirTem ; 1020 
 1887 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 25 ; Хачик ; 703 
 1888 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 13 ; kent01 ; 602 
 1889 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 24 ; havana ; 710 
 1890 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 7 ; kent01 ; 532 
 1891 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 33 ; havana ; 1761 
 1892 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF ; 33 ; Cuff ; 31 
 1893 ; 1 рубль. Ошибка на циферблате часов, вместо IV часов - VI ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF+ ; 36 ; rubin100 ; 62 
 1894 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 26 ; Aleks72 ; 64 
 1895 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 38 ; lielais ; 51 
 1896 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 17 ; sibons ; 62 
 1897 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 37 ; vital ; 46 
 1898 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 38 ; vital ; 41 
 1899 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF+ ; 18 ; Kum ; 43 
 1900 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 16 ; and1972 ; 72 
 1901 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 51 ; опричник ; 71 
 1902 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 16 ; OPN7AMN ; 82 
 1903 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 31 ; vital ; 42 
 1904 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 7 ; sibons ; 62 
 1905 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 9 ; vital ; 55 
 1906 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 63 ; Masik ; 4682 
 1907 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 24 ; Хачик ; 2552 
 1908 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; Proof ; 21 ; Masik ; 2360 
 1909 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 43 ; Aleks72 ; 72 
 1910 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 31 ; vital ; 155 
 1911 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; XF ; 31 ; Aleks72 ; 46 
 1912 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 35 ; Cuff ; 38 
 1913 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 24 ; jimmysu ; 37 
 1914 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 35 ; vital ; 60 
 1915 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 26 ; vital ; 50 
 1916 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 28 ; and1972 ; 55 
 1917 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 40 ; ruslanrs ; 1230 
 1918 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 11 ; romna1977 ; 273 
 1919 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 28 ; OPN7AMN ; 63 
 1920 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 48 ; and1972 ; 55 
 1921 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; XF ; 23 ; evgen177309 ; 47 
 1922 ; 1 рубль. Упаковка ; 1967 ; 50 лет Советской власти ; Cu-Ni ; AU ; 55 ; Nikolay75 ; 365 
 1923 ; 50 копеек. 50 лет Советской власти. Упаковка ; 1967 ;  ; Cu-Ni ; AU ; 106 ; masterovoi ; 456 
 1924 ; 20 копеек. 50 лет Советской власти. Упаковка ; 1967 ;  ; Cu-Ni ; AU ; 77 ; Masik ; 330 
 1925 ; 15 копеек. 50 лет Советской власти. Упаковка ; 1967 ;  ; Cu-Ni ; AU ; 32 ; shknikolay ; 107 
 1926 ; 10 копеек. 50 лет Советской власти. Упаковка ; 1967 ;  ; Cu-Ni ; AU ; 27 ; mr.812 ; 113 
 1927 ; 1 рубль ; 1965 ;  ; Cu-Ni ; Unc ; 152 ; сократ ; 517 
 1928 ; 50 копеек. Упаковка нарушена ; 1965 ;  ; Cu-Ni ; Unc ; 73 ; сократ ; 312 
 1929 ; 20 копеек. Упаковка нарушена ; 1965 ;  ; Cu-Ni ; Unc ; 47 ; Ходор ; 1438 
 1930 ; 15 копеек. Упаковка нарушена ; 1965 ;  ; Cu-Ni ; Unc ; 37 ; ges ; 1602 
 1931 ; 10 копеек. Упаковка нарушена ; 1965 ;  ; Cu-Ni ; Unc ; 43 ; каламбурчик ; 1444 
 1932 ; 5 копеек ; 1965 ;  ; Cu-Zn ; Unc ; 29 ; Ходор ; 1956 
 1833 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 31 ; vital ; 46 
 1834 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 21 ; vital ; 36 
 1835 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 10 ; vital ; 50 
 1836 ; 5 рублей. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 31 ; POUL ; 717 
 1837 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 9 ; pissimist ; 133 
 1838 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 31 ; sibons ; 101 
 1839 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 36 ; DENGL ; 138 
 1840 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 32 ; Sphinx999 ; 125 
 1841 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; VF ; 17 ; Cuff ; 15 
 1842 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 10 ; neshko ; 42 
 1843 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 6 ; sibons ; 38 
 1844 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 12 ; джон007 ; 42 
 1845 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 11 ; nbvv ; 57 
 1846 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 14 ; BarnabyRadj ; 250 
 1847 ; 1 рубль. Упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Unc ; 26 ; eeg3000 ; 129 
 1848 ; 1 рубль. Упаковка ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; Unc ; 19 ; serg98 ; 80 
 1849 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Unc ; 33 ; Masik ; 119 
 1850 ; 1 рубль. Упаковка ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 39 ; Хачик ; 1283 
 1851 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; XF- ; 37 ; jimmysu ; 44 
 1852 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; XF ; 21 ; evgen177309 ; 140 
 1853 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 11 ; sibons ; 61 
 1854 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 12 ; lielais ; 76 
 1855 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 34 ; StanislavAK ; 80 
 1856 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 24 ; sibons ; 114 
 1857 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 6 ; sibons ; 72 
 1858 ; 3 рубля. Упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 24 ; пенсионер ; 526 
 1859 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 13 ; rem16 ; 188 
 1860 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 18 ; serg07_67 ; 250 
 1861 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 53 ; denis1977 ; 309 
 1862 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 16 ; serg07_67 ; 288 
 1863 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 30 ; verunk1 ; 628 
 1864 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Праги ; Cu-Ni ; Proof ; 36 ; kalan ; 918 
 1865 ; 3 рубля. Упаковка ; 1995 ; Разгром Квантунской армии в Маньчжурии ; Cu-Ni ; Proof ; 20 ; coin123 ; 648 
 1866 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 44 ; ruslanrs ; 465 
 1867 ; 3 рубля. Упаковка ; 1995 ; Встреча на Эльбе. ; Cu-Ni ; Proof ; 51 ; Antromis ; 1485 
 1868 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Кенигсберга. ; Cu-Ni ; Proof ; 29 ; shneyder ; 735 
 1869 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Японии ; Cu-Ni ; Proof ; 36 ; coin123 ; 937 
 1870 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 5 ; jlo ; 194 
 1871 ; 1 рубль. Упаковка ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 16 ; Буарон1925 ; 313 
 1872 ; 1 рубль. Упаковка ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Proof ; 15 ; denis1977 ; 419 
 1873 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Японии ; Cu-Ni ; Proof ; 41 ; Слепок ; 822 
 1874 ; 1 рубль ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; AU ; 38 ; свой ; 1079 
 1875 ; 1 рубль ; 1993 ; 110 лет со дня рождения А.П.Бородина ; Cu-Ni ; Proof ; 26 ; 64-1252 ; 989 
 1876 ; 1 рубль ; 1993 ; 100 лет со дня рождения К.Л.Тимирязева ; Cu-Ni ; AU ; 9 ; kalan ; 497 
 1877 ; 5 рублей. Упаковка ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 14 ; denis68 ; 509 
 1878 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 5 ; Сакович ; 365 
 1879 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; AU ; 29 ; jurcha ; 245 
 1880 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 42 ; OPN7AMN ; 79 
 1881 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 13 ; Aleks72 ; 76 
 1882 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Proof ; 48 ; Evka ; 400 
 1783 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 18 ; Sphinx999 ; 123 
 1784 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 9 ; Nikolay75 ; 150 
 1785 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 24 ; vital ; 57 
 1786 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 36 ; Cuff ; 39 
 1787 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 11 ; Nikolay75 ; 59 
 1788 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 9 ; piron ; 102 
 1789 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 15 ; Антон Семенович ; 153 
 1790 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 31 ; evgen177309 ; 249 
 1791 ; 3 рубля ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 28 ; BarnabyRadj ; 306 
 1792 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 25 ; september ; 241 
 1793 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 41 ; Ходор ; 232 
 1794 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 6 ; andrex ; 102 
 1795 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 36 ; andrex ; 120 
 1796 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 25 ; avig67 ; 194 
 1797 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 55 ; andrex ; 107 
 1798 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 13 ; mr.812 ; 227 
 1799 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 10 ; andrex ; 108 
 1800 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 30 ; romna1977 ; 225 
 1801 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 43 ; pissimist ; 594 
 1802 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF+ ; 14 ; BOLMAR ; 69 
 1803 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; XF- ; 24 ; BOLMAR ; 67 
 1804 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; XF+ ; 17 ; BOLMAR ; 111 
 1805 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; XF+ ; 68 ; BOLMAR ; 101 
 1806 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 17 ; F1egg ; 37 
 1807 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 25 ; lielais ; 42 
 1808 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 30 ; Kum ; 51 
 1809 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; XF ; 3 ; ваня03 ; 72 
 1810 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 14 ; vital ; 119 
 1811 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; XF+ ; 37 ; solder13 ; 55 
 1812 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 9 ; vital ; 36 
 1813 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 15 ; Nikolay75 ; 51 
 1814 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 15 ; опричник ; 90 
 1815 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 43 ; OPN7AMN ; 94 
 1816 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; VF ; 25 ; Cuff ; 26 
 1817 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF- ; 34 ; KVP1 ; 33 
 1818 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF- ; 6 ; KVP1 ; 22 
 1819 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 32 ; Nikolay75 ; 141 
 1820 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; XF- ; 6 ; sibons ; 51 
 1821 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF ; 14 ; aaa2009 ; 33 
 1822 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; XF- ; 22 ; Kum ; 139 
 1823 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; XF- ; 21 ; aleksius ; 30 
 1824 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; XF- ; 15 ; vtepjpen ; 34 
 1825 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 19 ; sibons ; 46 
 1826 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 25 ; F1egg ; 37 
 1827 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF- ; 27 ; KVP1 ; 24 
 1828 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 30 ; Kum ; 523 
 1829 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; XF ; 32 ; BOLMAR ; 115 
 1830 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF- ; 18 ; solder13 ; 36 
 1831 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF+ ; 28 ; F1egg ; 35 
 1832 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 46 ; Antromis ; 83 
 1733 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 4 ; джон007 ; 51 
 1734 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; XF ; 22 ; drn137 ; 135 
 1735 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; XF+ ; 24 ; Gorizn ; 77 
 1736 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF+ ; 18 ; Gorizn ; 35 
 1737 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; XF+ ; 9 ; sibons ; 57 
 1738 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; AU ; 40 ; vital ; 74 
 1739 ; 1 рубль. Новодел ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 29 ; кошак ; 680 
 1740 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 95 ; romna1977 ; 189 
 1741 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 49 ; ruslanrs ; 1233 
 1742 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 31 ; Ходор ; 399 
 1743 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 53 ; krft ; 1243 
 1744 ; 1 рубль. Новодел ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 43 ; evgen177309 ; 528 
 1745 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 27 ; dgekson ; 117 
 1746 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 77 ; dgekson ; 104 
 1747 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 46 ; evgen177309 ; 83 
 1748 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 30 ; Хачик ; 521 
 1749 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 40 ; боец1 ; 755 
 1750 ; 1 рубль ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 18 ; Хачик ; 714 
 1751 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 43 ; Zorro ; 1780 
 1752 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 30 ; боец1 ; 891 
 1753 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 10 ; Чук ; 98 
 1754 ; 1 рубль ; 1993 ; 110 лет со дня смерти И.С.Тургенева ; Cu-Ni ; Proof ; 37 ; Вяч ; 804 
 1755 ; 3 рубля ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 16 ; denis1977 ; 319 
 1756 ; 3 рубля ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 37 ; denis1977 ; 459 
 1757 ; 3 рубля ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 44 ; Zorro ; 1692 
 1758 ; 3 рубля ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 33 ; denis68 ; 340 
